Acronym,Name,Location,Submission deadline,Start date,Topics
i-AGeoS2025,International Advanced Geospatial and Surveying Conference 2025,"Arau, Malaysia","May 31, 2025","Jun 24, 2025",[]
KIU-2025,6. Workshop “Künstliche Intelligenz in der Umweltinformatik”,"Potsdam, Germany","May 6, 2025","Sep 16, 2025","['sustainability', 'green it']"
IISA2025,India International Symposium on Acoustics - Gurugram India,"Gurugram, India","Jun 30, 2025","Oct 30, 2025","['aero, hydro & underwater acoustics', 'architectural & building acoustics', 'instrumentation signal processing musical acoustics', 'transducers & electro acoustics']"
MIA2025,Simpósio da Margem Ibérica Atlântica,"Lisboa, Portugal","May 30, 2025","Oct 29, 2025",[]
CPEEE 2026,"2026 The16th International Conference on Power, Energy, and Electrical Engineering","Osaka, Japan","Sep 15, 2025","Mar 6, 2026","['electrical engineering', 'power electronics', 'nuclear energy', 'electrotechnologies']"
"The CLEAN-Air Forum, 2025, Nairobi",Annual Africa Clean Air Forum,"Nairobi, Kenya","May 12, 2025","Jul 15, 2025","['transdisciplinary collaborations', 'air quality monitoring', 'awareness and citizen participation', 'air quality management and health']"
ICEGC'2025,The 4th International Conference on Energy and Green Computing,"Casablanca, Morocco",,"Dec 4, 2025",[]
DARES'25,Workshop on AI-driven Data Engineering and Reusability for Earth and Space Sciences,"Bologna, Italy","Jul 25, 2025","Oct 25, 2025","['ai', 'data engineering', 'earth observation']"
ICUS 2025,"International Conference on Innovations for Smart Cities, Urban Mobility, and Sustainable Infrastructure 2025","Yogyakarta, Indonesia","Apr 11, 2025","Jun 19, 2025","['smart cities and digital transformation', 'ev charging infrastructure', 'climate adaptive infrastructure and cities']"
GAW-12,"The 12th International Conference on the Geology of the Arab World (GAW 12) ""Sustainability from the Gulf to the Ocean""","Giza, Egypt","May 31, 2025","Nov 3, 2025","['regional geology and tectonics', 'energy resources conventional', 'mineral resources and raw materials', 'water resources and hydrogeology']"
EcoDL 2025,The 1st Workshop on Digital Libraries and AI-based Information Systems for Ecological Research and Practice,"Tampere, Finland","May 16, 2025","Sep 23, 2025","['digital libraries', 'artificial intelligence', 'machine learning', 'ecology']"
ICASME'25,International Conference on Advances in Sustainability of Materials and Environment 2025,"Nagercoil, India","May 14, 2025","May 29, 2025","['environmental and material science', 'civil and energy efficient buildings', 'chemistry and physical science', 'mathematical and soft computing techniques']"
ICoDMC 2025,International Conference on Disaster Management and Climate Change 2025,"Surakarta, Indonesia","Jul 12, 2025","Aug 9, 2025",[]
ICAIEEES 2025,"GreenAI Nexus 2025: International Conference on AI for Environment, Energy, and Earth Sciences 2025","Kolhapur, India","Apr 24, 2025","Apr 25, 2025",[]
MIGARS 2025,2025 International Conference on Machine Intelligence for GeoAnalytics and Remote Sensing,"Bucharest, Romania","Apr 28, 2025","Sep 2, 2025",[]
RECYCLE 2025,5th International Conference on Waste Management- RECYCLE 2025,"Guwahati, India","Mar 31, 2025","Jun 5, 2025",['microplastics']
AGSE 2025,Applied Geoinformatics for Society and Environment: The challenge of climate change – possible contributions of geoinformation,"Bogotá, Colombia","Apr 30, 2025","Sep 8, 2025","['geoinformation – standards and sources', 'climate change monitoring', 'ai – trends and applications', 'collaborative geoinformation portals']"
DOD 2025,The 8th International Conference on Dynamics of Disasters,"Nanjing, China","Jun 1, 2025","Aug 4, 2025",[]
SciBO-SEM2025,Scientific Challenges & Business Opportunities in Sustainable Environmental Management,"Poznań, Poland","Apr 21, 2025","Jun 25, 2025","['digital transformation', 'smart infrastructures', 'big data and data science', 'ict applications']"
Agro-Geoinformatics 2025,The 13th International Conference on Agro-Geoinformatics,"Boulder, CO, United States","Jun 5, 2025","Jul 7, 2025","['agriculture', 'artificial intelligence', 'big data', 'gis/remote sensing']"
CLEETS 2025,Clean Energy and Equitable Transportation Solutions (CLEETS) Global Center 2nd Annual Meeting,"Chicago, IL, United States","Feb 28, 2025","Jun 16, 2025","['sustainable transportation', 'energy transitions', 'global center', 'weather hazards']"
ECTQG 2025,24th European Colloquium on Theoretical and Quantitative Geography,"Tallinn, Estonia","Apr 16, 2025","Sep 10, 2025","['geography', 'quantitative geography', 'theoretical geography', 'spatial modelling']"
I-GUIDE Forum 2025,I-GUIDE Forum 2025: Geospatial AI and Innovation for Sustainability Solutions,"Chicago, IL, United States","Apr 18, 2025","Jun 17, 2025",[]
INGEO 2025,9th International Conference on Engineering Surveying,"Brno, Czechia","Apr 30, 2025","Oct 15, 2025","['3d modelling of engineering structures', 'deformation measurement', 'industry surveys', 'quality assurance of engineering surveys']"
UIS2025,Umweltinformationssysteme 2025,"Merseburg, Germany",,"May 21, 2025","['sustainability', 'green it', 'environmental informatics', 'environment information systems']"
NU-STARC 2025,"2025 International Conference on New Unifying of Sustainable Technology, Advanced Research, and Climate Change","Pattaya, Thailand","Sep 30, 2025","Oct 27, 2025","['sustainable energy and green technology', 'remote sensing of the earth', 'digital transformation in engineering', 'disaster management and environmental protection']"
BALKANMINE 2025,The 9th Balkan Mining Congress,"Petrosani, Romania","Sep 15, 2025","Oct 9, 2025","['mining safety and survey', 'geophysics in mining', 'mineral resources and mine geology', 'mining exploitation methods and technologies']"
CITC-15,The 15th International Conference on Construction in the 21st Century,"Rabat, Morocco","Jun 15, 2025","Nov 10, 2025","['construction engineering and management', 'sustainable and resilient built environment', 'civil engineering', 'urban planning']"
PA4OW,PartArt4OW 1st Open Call,"Rome, Italy","Apr 3, 2025",,"['community engagement', 'sustainable practices', 'environmental preservation', 'biodiversity']"
W2GIS,Web and Wireless Geographical Information Systems,"Mexico City, Mexico","Mar 8, 2025","Sep 8, 2025",[]
GSCS & ICUI 2025,Global Smart Cities Summit cum The 4th International Conference on Urban Informatics,"Hong Kong, China","Jun 15, 2025","Aug 5, 2025",[]
KG4S 2025,The 3rd International Workshop on Knowledge Graphs for Sustainability,"Portoroz, Slovenia","Mar 6, 2025","Jun 1, 2025","['knowledge graphs', 'sustainability', 'ontologies', 'semantic web']"
ICRMBEE2025,7th International Conference on Research Methodology for Built Environment and Engineering 2025,"Selangor, Malaysia","Jan 15, 2025","Jun 3, 2025",['urban planning']
ETAGRO 2025,18th International Conference of the Hellenic Association of Agricultural Economists,"Florina, Greece","Apr 28, 2025","Oct 10, 2025","['economics', 'agriculture', 'sustainability', 'marketing']"
CONTUM1,"Contemporary Arts, the Urbanocene and the More than Human World","Rennes, France","Jan 15, 2025","Jun 2, 2025",[]
CIAISAM 2025,"International Congress on Agriculture, Innovation, and Sustainability of Amazonas","Manaus, Brazil","Mar 10, 2025",,"['agriculture', 'innovation', 'sustainability', 'congress']"
WASTES 2025,"WASTES - Solutions, Treatments and Opportunities","Funchal, Portugal","Jan 15, 2025","Sep 3, 2025","['management of waste streams', 'environmental economic and social aspects', 'logistics policies', 'waste to energy technologies']"
ICT4S 2025,ICT for Sustainability 2025,"Dublin, Ireland","Mar 4, 2025","Jun 9, 2025","['sustainability', 'environmental', 'green', 'ict']"
Geomorphometry2025,Geomorphometry 2025,"Perugia, Italy","Feb 7, 2025","Jun 9, 2025","['digital elevation models', 'land surface parameters and objects', 'digital terrain modelling and analysis', 'lidar']"
PFAS 2025,2025 Iowa PFAS Conference,"Iowa City, IA, United States","Mar 1, 2025","Apr 15, 2025",[]
SimHydro 2025,Which data for water and models?,"Nice, France","Apr 1, 2025","Jun 2, 2025","['numerical modelling', 'climate change']"
6thCESUST2025,6th Symposium on Circular Economy and Sustainability,"Alexandroupolis, Greece",,"Jun 16, 2025",[]
IWACyprus2025,"6th International Conference on Water Economics, Statistics and Finance & 10th Leading Edge Conference for Strategic Asset Management","Pafos, Cyprus",,"Apr 28, 2025","['water resource management', 'water economics', 'strategic asset management', 'water statistics']"
A&WMA ACE 2025,"Collaborating for an Equitable, Resilient Environment: A&WMA's 118th Annual Conference & Exhibition","Raleigh, NC, United States","Nov 25, 2024","Jun 9, 2025","['environment', 'sustainability', 'air quality', 'climate change']"
Measurements 2025,Air Quality Measurement Methods and Technology,"Aurora, CO, United States","Oct 18, 2024","Apr 23, 2025","['environment', 'air quality']"
EBC-IX (2025),9th European Bioremediation Conference,"Chania, Greece","Apr 15, 2025","Jun 15, 2025","['wastewater treatment', 'in situ bioremediation', 'phytoremediation technologies', 'microplastics and nanoplastics']"
XISIIR2025,XI Simposio Iberoamericano de Ingeniería de Residuos “Por un Futuro Sostenible y Resiliente”,"Cartagena, Colombia","May 18, 2025","Sep 3, 2025","['residuos solidos', 'economia circular', 'reciclaje', 'ingenieria']"
INSAP 2025,Celestial Connections Across Time and Space,"Belfast, UK","Dec 22, 2024","Jun 8, 2025","['astronomy and cosmology', 'astro architecture and celestial alignments', 'art and the celestial', 'literature and myth']"
Geoinformatics 2025,The 32nd International Conference on Geoinformatics in 2025,"Jiaozuo, China","Feb 25, 2025","Jun 16, 2025",['giscience for high quality development']
ICAP2025,16th International Conference on Archaeological Prospection,"Ghent, Belgium","Dec 20, 2024","Sep 16, 2025",[]
NatHaz25,International Workshop on Natural Hazards — “Geotechnical Risks”,"Horta - Faial Island - Azores, Portugal","Apr 30, 2025","Oct 23, 2025","['natural hazards', 'geotechnical risks', 'geotechnical engineering', 'civil engineering']"
EENVIRO 2024,EU-CONEXUS EENVIRO Research Conference 2024,"Bucharest, Romania","Jul 31, 2024","Oct 29, 2024","['coastal and enviromental engineering', 'environmental sciences and biodiversity', 'life sciences and biotechnology', 'social culture and human sciences']"
