Acronym,Name,Location,Submission deadline,Start date,Topics
PSC 2025,The Prague Stringology Conference 2025,"Prague, Czechia","May 22, 2025","Aug 25, 2025",[]
HIKM 2025,Health Informatics Knowledge Management Conference,"Online, Australia","May 5, 2025","Sep 16, 2025","['health informatics', 'health knowledge management', 'health information']"
BIOKDD 2025,24th International Workshop on Data Mining in Bioinformatics,"Toronto, Canada","May 8, 2025","Aug 6, 2025","['bioinformatics', 'data mining', 'genomics', 'health informatics']"
BioMRH 2025,The 1st International Symposium on BioMechatronics and Robotics in Healthcare,"Brussels, Belgium","Jul 15, 2025","Sep 20, 2025","['robotic systems', 'biomechatronics and smart biomaterials', 'ai in healthcare', 'human machine interfaces and control']"
GIW XXXIV ISCB-Asia VIII 2025,International Conference on Genome Informatics ISCB-Asia 2025,"Hong Kong, China","Sep 29, 2025","Dec 11, 2025","['computational biology', 'bioinformatics']"
JOBIM2025,"Journées Ouvertes en Biologie, Informatique et Mathématique 2025","Bordeaux, France","Mar 31, 2025","Jul 8, 2025","['bioinformatics', 'genomics', 'statistics', 'biology']"
RECOMB-Microbiome 2025,Research in Computational Molecular Biology Conference 2025 - Microbiome Satellite,,"Feb 14, 2025","Apr 24, 2025",['microbiome']
2025 SFIC,2025 SFIC12,"New Taipei City, Taiwan","Mar 24, 2025","Apr 24, 2025","['green finance', 'circular economy', 'sustainable energy', 'sustainability']"
ISBRA2025,International Symposium on Bioinformatics Research and Applications,"Helsinki, Finland","Apr 1, 2025","Aug 3, 2025","['bioinformatics', 'systems biology', 'computational biology', 'systems medicine']"
ISMB/ECCB 2025,33rd Conference on Intelligent Systems for Molecular Biology and the 24th European Conference on Computational Biology - ISMB/ECCB 2025,"Liverpool, UK",,"Jul 20, 2025",[]
ISCB-Africa ASBCB 2025,ISCB-Africa ASBCB Conference on Bioinformatics 2025,"Cape Town, South Africa","Feb 20, 2025","Apr 14, 2025","['computational biology', 'bioinformatics']"
GLBIO 2025,Great Lakes Bioinformatics Conference 2025,"Minneapolis, MN, United States","Mar 3, 2025","May 12, 2025","['computational biology', 'bioinformatics']"
IWBBIO2025,International Work-Conference on Bioinformatics and Biomedical Engineering,"Gran Canaria, Spain",,"Jul 16, 2025","['biomedicine', 'biomedical engineering', 'bioinformatics', 'healthcare and diseases']"
PHABB 2024,PatHogens of Algae for Biocontrol and Biosecurity,"Virtual Application Platform, France",,"Dec 29, 2027",[]
