Acronym,Name,Location,Submission deadline,Start date,Topics
Acronym,Name,Location,Submissiondeadline,Start date,[]
CP & SOMEPSO & CORYMI 2025,The 26th Annual Curriculum and Pedagogy Group Conference & XI Congreso Nacional & II Reunión Internacional de Psicología Social,"Ciudad Mexico/Mexico City, Mexico","Jul 1, 2025","Oct 7, 2025","['curriculum & pedagogy (interdisciplinary)', 'sociocultural & psychological education studies', 'critical & justice pedagogy', 'intersectionality & feminist studies']"
ICEIT 2026,The 15th International Conference on Educational and Information Technology,"Xi'an, China","Nov 5, 2025","Mar 27, 2026","['artificial intelligence', 'educational models', 'inclusive learning', 'behavioral problems']"
OCCE 2025,IFIP TC3 Open Conference on Computers in Education,"Rabat, Morocco",,"Oct 28, 2025",[]
HELMeTO2025,7th International Conference on Higher Education Learning Methodologies and Technologies Online,"Naples, Italy",,"Sep 23, 2025","['higher education', 'learning technologies', 'online learning', 'learning methodologies']"
BW-2025,Bridging Worlds: Multidisciplinary Research Conference,"Mumbai, India","Apr 25, 2025","Apr 26, 2025",[]
GALA 2025,Games and Learning Alliance 2025,"Utrecht, Netherlands","Jul 2, 2025","Nov 19, 2025","['game design', 'cognitive science', 'applied games', 'educational science']"
III TSIE 2025,"III Congreso Internacional: Tecnología, Sustentabilidad e Innovación Educativa","Ibarra, Ecuador","May 16, 2025","May 20, 2025",[]
GenAIHEd25,Applications of Generative AI to Support Teaching and Learning in Higher Education,"Palermo, Italy","Jun 1, 2025","Jul 22, 2025","['generative ai', 'higher education', 'large language models', 'teaching and learning']"
1CIDeporte,1er Congreso Internacional del Deporte: Tendencias Contemporáneas,"Cali, Colombia","Jun 30, 2025","Aug 4, 2025","['deporte de alto rendimiento', 'deporte social comunitario', 'deportes electrónicos', 'deporte paralímpico']"
iTextbooks2025,Sixth Workshop on Intelligent Textbooks at AIED 2025,"Palermo, Italy","May 12, 2025","Jul 26, 2025","['educational technology', 'information extraction', 'artificial intelligence in education', 'adaptive educational systems']"
TC25,Harnessing EdTech 5.0 as Catalyst for Sustainable and Transformative Innovations,"Manila, Philippines","Apr 30, 2025","May 15, 2025","['artificial intelligence', 'educational technology', 'sustainable development', 'learning innovations']"
WLIEDM'25,2nd Educational Data Mining in Writing and Literacy Instruction Workshop,,"May 19, 2025","Jul 20, 2025",[]
ISASD 2025,International Conference on Intelligent Science and Sustainable Development,"Yokohama, Japan","Apr 22, 2025","Jul 15, 2025",[]
PCTEWD-25,Postsecondary CTE & Workforce Development Virtual Summer Research Forum 2025,"Norfolk, VA, United States","May 15, 2025","Jul 23, 2025","['workforce development', 'postsecondary cte']"
D-SAIL'25,"Transformative Curriculum Design: Digitalisation, Sustainability, and AI Literacy for 21st Century Learning","Palermo, Italy","May 5, 2025","Jul 22, 2025","['human ai interaction', 'ai literacy', 'ethical ai', 'pedagogical frameworks']"
edm-aied-2025,Workshop on Epistemics and Decision-Making in AI-Supported Education,"Palermo, Italy","May 22, 2025","Jul 26, 2025","['generative ai', 'mutli agent systems', 'decision making in generative ai', 'creativity and epistemics']"
PLB1,Introducing the Privileged Logics Blog: A New Hub for Crucial Conversations,,"Mar 25, 2026",,"['research ethics', 'stem', 'social science', 'rcr']"
LEM ECR 2025,ELINET LEM Early Career Researcher Workshop,,"Mar 31, 2025",,"['language education', 'multilingualism', 'applied linguistics', 'social sciences']"
JIUTE 2025,VII Jornadas de Innovación Universitaria InnovaUDIMA con Tecnología Educativa,"Collado Villalba, Spain","Jun 8, 2025","Oct 23, 2025","['innovación', 'tecnología', 'educación']"
SpicEConference-2025,Inclusive STEAM Education,"Patras, Greece","Apr 15, 2025","May 30, 2025","['steam education', 'inclusive education', 'students with mild disabilities']"
HETL-2025,The International Higher Education Teaching and Learning Association Conference,"Dubai, UAE","Jun 1, 2025","Dec 16, 2025","['transformative leadership in he', 'technology enhanced learning in he', 'sustainability and ethics in he', 'future skills and employability']"
ZiSE2025,Zephyr in Science and Education,"Jena, Germany","May 31, 2025","Sep 23, 2025","['education', 'embedded operating system', 'educate zephyr and embedded os', 'zephyr os']"
ICETI 2025,International Conference on Educational Technology and Innovation 2025,"Dumaguete, Philippines","Sep 6, 2025","Nov 6, 2025",[]
CLADEA 2025,60 Congreso Internacional CLADEA 2025,"Tijuana/ San Diego, Mexico","Mar 31, 2025","Sep 29, 2025","['economic', 'leadership', 'entrepreneurship', 'social responsability']"
KoDi-2025,The multi-event of Lithuanian Computer Society “Computer Days – 2025”,"Šiauliai, Lithuania","Jun 5, 2025","Sep 25, 2025",[]
MSE 2025,Manufacturing Science and Education,"Sibiu, Romania","Mar 15, 2025","Jun 4, 2025",[]
T4E 2025,"International Conference on Technology 4 Education, 2025","Chennai, India","Jul 15, 2025","Dec 5, 2025","['emerging technologies to support education', 'technology to understand human learning', 'pedagogical strategies and interventions', 'access scale and sustainability']"
NATO CA2X2 Forum 2025,"NATO Computer Assisted Analysis, Exercise, Experimentation Forum 2025","Roma, Italy","Aug 25, 2025","Sep 23, 2025","['experimentation', 'analysis', 'wargaming', 'artificial intelligence']"
ACSEL 2025,12th Asian Conference on Safety in Education and Laboratory,Singapore,"Jul 16, 2025","Nov 12, 2025","['sustainability in laboratories', 'safety education for international students/researchers', 'ai in safety', 'benchmarking for safety']"
