Acronym,Name,Location,Submission deadline,Start date,Topics
ICSCGE 2025,5th International Conference on Smart City and Green Energy,"Melbourne, Australia","Aug 10, 2025","Dec 9, 2026","['intelligent transportation systems', 'data analysis', 'smart city safety', 'smart district']"
EEE 2025,2025 IEEE 2nd International Conference on Energy and Electrical Engineering,"Nanchang, China",,"Jun 20, 2025",[]
AEMST 2025,The International Symposium on Advanced Energy Materials and Next-Generation Storage Technologies,"Bali, Indonesia, Indonesia","May 20, 2025","Jul 27, 2025",[]
CSPE 2026,2026 International Conference on Computational Science and Power Engineering,"Hefei, China","Nov 10, 2025","Mar 28, 2026","['data analysis', 'grid security', 'power systems', 'simulation']"
ICPES 2025,The 15th International Conference on Power and Energy Systems,"Chongqing, China","Jul 20, 2025","Dec 6, 2025","['renewable energy', 'energy storage', 'it applications', 'energy system modelling']"
ICEGC'2025,The 4th International Conference on Energy and Green Computing,"Casablanca, Morocco",,"Dec 4, 2025",[]
ICSGSC 2025,2025 the 9th International Conference on Smart Grid and Smart Cities,"Chengdu, China","Jun 15, 2025","Nov 1, 2025","['smart grid', 'diagnostics', 'smart healthcare', 'intelligent infrastructure']"
ATiGB2025,2025 The 10th International Conference on Applying New Technology in Green Buildings,"Danang, Viet Nam","Mar 20, 2025","Jul 25, 2025","['• civil engineering', '• renewable energy energy', 'automotive engineering and electric vehicle', '• automatic control ic semiconductor']"
ICSGE 2025,2025 International Conference on Smart Grid and Energy,"Guangzhou, China","Jul 10, 2025","Dec 12, 2025","['energy saving', 'renewable energy', 'green energy', 'green technology']"
SIENR 2025,7th International symposium on New and Renewables Energies,"Ghardaia, Algeria","Mar 30, 2025","Oct 15, 2025","['renewable resources', 'photovoltaic solar and hybrid systems', 'thermal solar', 'new energies']"
ROPEC25,"2025 IEEE Power, Electronics and Computing Autumn Meeting","Ixtapa, Mexico","Jul 4, 2025","Nov 12, 2025","['computer science', 'electronics', 'electrical power systems']"
PCCE 2025,2025 IEEE International Conference on Power Conversion and Control Engineering,"Guangzhou, China","May 5, 2025","Nov 14, 2025","['control systems', 'electric vehicles', 'smart grids', 'protection']"
ICPEA 2025,2025 The 8th International Conference on Power and Energy Applications,"Shanghai, China","May 20, 2025","Oct 23, 2025","['sensors', 'reliability', 'smart grids', 'active components']"
