Acronym,Name,Location,Submission deadline,Start date,Topics
Acronym,Name,Location,Submissiondeadline,Start date,[]
TAMC 2025,The 19th Annual Conference on Theory and Applications of Models of Computation,"Jinan, China","May 15, 2025","Sep 19, 2025","['parallel and distributed computing', 'models of computation', 'combinatorial optimization', 'computational complexity and algorithms']"
PLP2025,12th Workshop on Probabilistic Logic Programming,"Rende, Italy","Jun 1, 2025","Sep 12, 2025","['probabilistic logic programming', 'statistical relational artificial intelligence']"
ATMOS 2025,"25th Symposium on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems","Warsaw, Poland","Jun 30, 2025","Sep 18, 2025","['transportation', 'algorithm engineering', 'mathematical optimization', 'routing and logistics']"
ICCMMAS 2025,International Conference on Computational Methods and Models in Applied Sciences,"Madurai, Tamil Nadu, India","May 28, 2025","May 31, 2025","['mathematical programming', 'quantum mechanics', 'hydrodynamics', 'green chemistry']"
LOGICPRIZE-2025,Bimal Krishna Matilal Logic Prize 2025,"Cusco, Peru","May 31, 2025",,"['philosophical logic', 'non classical logic', 'logic for computer science', 'algebraic logic']"
IWLP-4,The Fourth International Workshop on Logic and Philosophy: Social Norms: Logical Structures and Philosophical Foundations,"Beijing, China","Jul 4, 2025","Nov 1, 2025","['origin of norms', 'norms in social network', 'agency and norms', 'norms for ai agents']"
GALOP 2025,16th Workshop on Games for Logic and Programming Languages,"Birmingham, UK","May 7, 2025","Jul 19, 2025","['programming languages', 'logic', 'game theory', 'semantics']"
TBMS'2025,International Symposium on Big Data Analytics Technologies for Strategic Management,"Tunis, Tunisia",,"Nov 6, 2025","['big data analytics', 'learning analytics', 'ai and generative ai applications', 'data driven in decision making']"
"The CLEAN-Air Forum, 2025, Nairobi",Annual Africa Clean Air Forum,"Nairobi, Kenya","May 12, 2025","Jul 15, 2025","['transdisciplinary collaborations', 'air quality monitoring', 'awareness and citizen participation', 'air quality management and health']"
BISFORM2025,Beijing International Summer Workshop on Formal Philosophy 2025,"Beijing, China","May 7, 2025","Jul 7, 2025",[]
ACM SIGSPATIAL 2025 Short Paper Track,The 33rd ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems - Short Paper Track,"Minneapolis, MN, United States","May 30, 2025","Nov 3, 2025","['spatial statistics', 'spatial data mining', 'geospatial machine learning', 'ai for geographic information systems']"
STRL 2025,4th International Workshop on Spatio-Temporal Reasoning and Learning,"Montreal, Canada","Apr 25, 2025","Aug 16, 2025","['artificial intelligence', 'machine learning', 'spatial and temporal information']"
ICMAICT_2025,"International Conference on Mathematics, AI, Information and Communication Technologies","Tikrit, Iraq","Jun 10, 2025","Jun 22, 2025","['statistical modelling and analysis', 'computing and security systems', 'communication technologies and hardware', 'data analysis and processing']"
APMP 2026,8th International Meeting of the Association for the Philosophy of Mathematical Practice,"Orange, CA, United States",,"Jan 12, 2026","['philosophy of mathematics', 'mathematical practice']"
AIFIN-2025,Workshop on AI in Finance at ECAI 2025,"Bologna, Italy","May 13, 2025","Oct 25, 2025","['ai for finance', 'finance', 'artificial intelligence']"
AMC2025,Asian Mathematical Conference 2025,"Chiang Mai, Thailand","May 16, 2025","Aug 3, 2025","['mathematics', 'applied mathematics', 'mathematics education', 'mathematical sciences']"
AAIM2025,The 19th International Conference on Algorithmic Aspects in Information and Management,"Ulaanbaatar, Mongolia","May 20, 2025","Jun 23, 2025","['optimization', 'machine learning', 'algorithms']"
IR-RAG @ SIGIR25,Information Retrieval's Role in RAG Systems 2025,"Padova, Italy","Apr 23, 2025","Jun 17, 2025",[]
S+SSPR 2026,Statistical Techniques in Pattern Recognition and Structural and Syntactic Pattern Recognition,"Bern, Switzerland","May 15, 2026","Aug 24, 2026","['pattern recognition', 'machine learning', 'statistical techniques in pattern recognition', 'structural pattern recognition']"
IACE 2025,The 6th Innovation and Analytics Conference and Exhibition,"Tashkent, Uzbekistan","Apr 30, 2025","Oct 20, 2025","['operational research', 'mathematics', 'statistics', 'computer science']"
NCMA 2025,15th International Workshop on Non-Classical Models of Automata and Applications,"Loughborough, UK",,"Jul 21, 2025",[]
BIID13,Beyond IID in Information Theory 13,"Munich, Germany","Apr 6, 2025","Jul 14, 2025","['quantum information theory', 'shannon theory', 'one shot information theory', 'entropies and information measures']"
ICoMPAC 2025,"International Conference on Mathematics: Pure, Applied and Computation","Surabaya, Indonesia","Jun 1, 2025","Oct 22, 2025","['applied mathematics', 'computational', 'pure mathematics']"
PCI 2025,6th International Conference on Problems of Cybernetics and Informatics,"Baku, Azerbaijan","Jul 10, 2025","Aug 26, 2025","['optimization and optimal control', 'mathematical modeling and inverse problems', 'numerical methods and computational technologies', 'intelligent systems and decision making']"
GOC 2025,The Global Optimization Conference (GOC 2025),"Shanghai, China","Apr 25, 2025","Aug 8, 2025","['continuous optimization and applications', 'discrete optimization and integer programming', 'optimization under uncertainty and applications', 'other optimization fields']"
MDYR25,Mathematikdidaktik Young Researchers Meeting,"Linz, Austria","Jun 30, 2025","Sep 4, 2025",[]
QAIConf 25,Quantum Effects Quantum HPC & AI Conference,"Stuttgart, Germany","May 26, 2025","Oct 7, 2025","['quantum computing', 'high performance computing', 'artificial intelligence', 'emerging technologies']"
F2MDays'25,Franco-Morocain Mathematics days - 2nd Edition,"Tetouan, Morocco","Mar 26, 2025","May 13, 2025",[]
SYNASC 2025,27th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,"Timisoara, Romania","May 15, 2025","Sep 22, 2025","['distributed computing', 'symbolic and numerical computing', 'logic and programming', 'artificial intelligence']"
CLADAG2025,15-th Scientific Meeting Classification and Data Analysis Group - International Scientific Joint Meeting of the Italian and Dutch/Flemish Classification Societies,"Naples, Italy","May 31, 2025","Sep 8, 2025","['clustering', 'classification', 'data analysis', 'data visualization']"
