Acronym,Name,Location,Submission deadline,Start date,Topics
Acronym,Name,Location,Submissiondeadline,Start date,[]
AIMEH'25,First International Workshop on AI for Mobile & Wireless Health: Advancing Explainability in the Future of Healthcare 2025,"Marrakesh, Morocco","Jul 15, 2025","Oct 20, 2025","['ai in healthcare', 'network architectures for healthcare', 'xai in networks for healthcare', 'ml in data processing']"
FCS 2025,The Eighth International Conference on Frontiers in Cyber Security,"Guiyang, China","Jul 21, 2025","Oct 24, 2025","['access control', 'anonymity', 'network security', 'privacy protection']"
ICARA 2026,"The 12th International Conference on Automation, Robotics and Applications","Istanbul, Turkey","Sep 10, 2025","Feb 5, 2026","['artificial intelligence', 'genetic algorithm', 'path planning', 'virtual systems']"
ICIGP 2026,The 9th International Conference on Image and Graphics Processing,"Wuhan, China","Aug 10, 2025","Jan 16, 2026","['computer vision', 'pattern recognition', 'computer graphics', 'security']"
ARDUOUS 2025,9th International Workshop on Annotation of Real World Data for Artificial Intelligent Systems,"Bologna, Italy","May 20, 2025","Oct 25, 2025","['data annotation', 'artificial intelligence', 'machine learning']"
QCCC-25,International Workshop on Quantum-Classical Cooperative Computing,"Tokyo, Japan",,"Jun 21, 2025","['architectural support for qccc', 'quantum classical hybrid algorithms', 'quantum error correction architecture', 'early fault tolerant architecture design']"
MULTITTRUST 4.0,Multidisciplinary Perspectives on Human-AI Team Trust,"Pisa, Italy","May 9, 2025","Jun 9, 2025","['artificial intelligence', 'human agent interaction', 'trustworthy ai', 'multi agent systems']"
iMACAW'25,In-Memory Architectures and Computing Applications Workshop,"San Francisco, CA, United States","May 15, 2025","Jun 22, 2025",[]
AICC2025,AI & Cybersecurity Conclave 2025,"Agra, India","Apr 20, 2025","Apr 22, 2025","['cybersecurity', 'emerging trends in computer science', 'iot']"
EGME-2025,14th National Conference of the Hellenic Society of Agriciltural Engineers,"Volos, Greece","Jul 30, 2025","Oct 21, 2025","['agricultural machinery and equipment', 'rural structures', 'soil and water resources', 'smart agriculture']"
ISISPA 2025,2025 14th International Symposium on Image and Signal Processing and Analysis,"Coimbra, Portugal","Jun 25, 2025","Oct 29, 2025","['image processing', 'signal processing']"
AI4DS 2024,Artificial Intelligence in Context of Digital Sovereignty,"Halden, Norway",,,"['privacy and security', 'autonomy and trust', 'ethics and regulation', 'digital asset management']"
ISMSIT2025,International Symposium on Multidisciplinary Studies and Innovative Technologies,"Ankara, Turkey","Oct 30, 2025","Nov 14, 2025",[]
CITI-2025,The 3rd International Workshop on Computer Information Technologies in Industry 4.0,"Ternopil, Ukraine","May 1, 2025","Jun 11, 2025","['internet of things', 'big data analytics', 'digital ecosystems', 'complex information systems']"
CONIITI 2025,XI Congreso Internacional de Innovación y Tendencias en Ingeniería,"Bogota, Colombia","Jun 2, 2025","Oct 1, 2025","['infraestructura y medio ambiente', 'creatividad innovación y emprendimiento', 'gestión integral de las organizaciones', 'educación en ingeniería']"
InRACS 25,International Conference on Recent Advancements in Computing Technology and System Design,"Kozhikode, India","May 20, 2025","Jun 25, 2025","['ai ml big data analysis', 'communication signal processing', 'vlsi and embedded system', 'automation control and robotics']"
STISWB2025,"The 17th International Conference on Science, Technology and Innovation for Sustainable Well-Being","Taipei, Taiwan",,"Jul 27, 2025","['electrical and electronics engineering', 'energy technology and management', 'civil engineering and management', 'agricultural biological and food engineering']"
EPEPS 2025,IEEE 34th Conference on Electrical Performance of Electronic Packaging and Systems,"Milpitas, CA, United States","May 30, 2025","Oct 19, 2025",[]
EEE 2025,2025 IEEE 2nd International Conference on Energy and Electrical Engineering,"Nanchang, China",,"Jun 20, 2025",[]
RETRAI-25,Workshop on Requirement Engineering for Trustworthy Artificial Intelligence,"Valencia, Spain","Jun 9, 2025","Aug 31, 2025",['requirement engineering for trustworthy ai']
SIICO25,Seminario de Investigación ICO 2025,"Texcoco, Estado de México, Mexico","May 30, 2025","Jun 11, 2025","['ingeniería de software', 'bases de datos', 'domótica', 'seguridad informática']"
IEEE CCAC 2025,2025 IEEE 7th Colombian Conference on Automatic Control,"Pereira, Risaralda, Colombia","May 18, 2025","Oct 14, 2025","['control systems', 'mechatronics', 'process optimization', 'signals and systems']"
CEISEE 2025,The 21st China-Europe International Symposium on Software Engineering Education,"Hangzhou, China","Jun 20, 2025","Sep 20, 2025",['software engineering education']
AEMST 2025,The International Symposium on Advanced Energy Materials and Next-Generation Storage Technologies,"Bali, Indonesia, Indonesia","May 20, 2025","Jul 27, 2025",[]
Greenearth1234ESAM,"Greenearth1234 journal of Engineering, Science, Agriculture and Management","Pune, India",,,"['engineering', 'science', 'agriculture', 'management']"
AmEC 2026,Automotive meets Electronics & Control,"Dortmund, Germany","Sep 15, 2025","Mar 19, 2026","['mobility concepts and solutions', 'vehicle dynamics & control', 'software defined vehicle', 'intelligent and autonomous vehicle']"
SIP2025,The 2nd International Conference on Sustainable Innovations and Partnerships,"Vancouver, Canada","Aug 31, 2025","Oct 15, 2025","['sustainable technologies and clean energy', 'artificial intelligence', 'climate action and environmental innovation', 'sustainable development']"
CONESCAPAN HONDURAS 2025,2025 IEEE Central America and Panama Student Conference,"Tegucigalpa, Honduras","Aug 20, 2025","Sep 23, 2025","['electronics', 'biomedicine', 'computer science', 'electrical engineering']"
IG2025,2025 International Conference on Innovate Green,"San Diego, CA, United States","Aug 31, 2025","Oct 10, 2025","['sustainable technologies and clean energy', 'ai and data science', 'climate action and environmental innovation', 'green finance and social sustainability']"
CSPE 2026,2026 International Conference on Computational Science and Power Engineering,"Hefei, China","Nov 10, 2025","Mar 28, 2026","['data analysis', 'grid security', 'power systems', 'simulation']"
CPEEE 2026,"2026 The16th International Conference on Power, Energy, and Electrical Engineering","Osaka, Japan","Sep 15, 2025","Mar 6, 2026","['electrical engineering', 'power electronics', 'nuclear energy', 'electrotechnologies']"
SPRA 2026,2026 the 6th Symposium on Pattern Recognition and Applications,"Osaka, Japan","Nov 5, 2025","Mar 19, 2026","['computer vision', 'machine learning', 'pattern recognition', 'biomedical image analysis']"
