Acronym,Name,Location,Submission deadline,Start date,Topics
IWPDF 2025,"4th International Workshop on Plasticity, Damage and Fracture of Engineering Materials","Istanbul, Turkey","Jun 2, 2025","Sep 24, 2025","['plasticity', 'fracture', 'failure', 'fatigue']"
INCOTHERM 2025,1st International Conference on Thermofluids Engineering,"Dhanbad, India","Jul 1, 2025","Oct 10, 2025","['thermofluids engineering', 'energy and hvac', 'fluid flow and heat transfer', 'thermofluids in biological systems']"
ICCMA 2025,"The 13th International Conference on Control, Mechatronics and Automation","Paris, France","May 15, 2025","Nov 24, 2025","['control theory', 'mechatronics', 'industrial automation', 'machine learning']"
ICRAMME 2025,International Conference on Recent Advances in Metallurgy and Mechanical Engineering 2025,"Jaipur, India","Apr 21, 2025","May 2, 2025","['materials manufacturing and processing', 'thermal engineering and energy conversion', 'design and structural engineering', 'tribology for industrial application']"
ISMQC 2025,The 13th International Symposium on Measurement and Quality Control - Quality and Accuracy in the Age of Data Driven Manufacturing,"Cluj-Napoca, Romania","May 15, 2025","Sep 2, 2025",[]
DGON ISA 2025,DGON Inertial Sensors and Applications 2025,"Braunschweig, Germany","Jul 28, 2025","Oct 21, 2025","['inertial navigation', 'accelerometers', 'inertial navigation sensors', 'gyroscopes']"
ICRTME-2025,1st International Conference on Recent Trends in Mechanical Engineering,"Adoor, Pathanamthitta,Kerala, India","Apr 21, 2025","Apr 28, 2025","['materials and manufacturing processes.', 'thermal and fluid engineering.', 'design dynamics and control systems.', 'industrial engineering and management']"
ELEC2025,"European Lean Educator Conference  ""LEAN in Action: Digitalization, Sustainability, and Operational Excellence""","Rzeszów, Poland","Apr 30, 2025","Oct 22, 2025","['lean manufacturing', 'digitalization an lean', 'sustanaibility in lean', 'operational excelence']"
MEIE2025,"The 8th International Conference on Mechanical, Electric, and Industrial Engineering","Taiyuan, Shanxi Province, China","Jun 10, 2025","Jul 12, 2025","['industrial engineering', 'mechanical engineering', 'electrical engineering', 'power electronics']"
NCETMEA25,National Conference on Emerging Trends in Mechanical Engineering and its Application 25,"Chennai, India","Apr 4, 2025","Apr 7, 2025","['intelligent systems', 'design engineering', 'thermal engineering', 'materials and manufacturing']"
SMAM 2025,The 10th International Conference on Sustainable Metallurgy and Advanced Materials,"Jeju Island, South Korea","Jun 5, 2025","Jul 25, 2025",[]
GPPS-TC-2025,GPPS Shanghai2025,"Shanghai, China","Apr 7, 2025","Sep 4, 2025","['heat transfer', 'aeroacoustics']"
ICOMMA2025,The 2nd International Conference on “Modern Mechanics and Applications”,"Ho Chi Minh, Viet Nam","Jul 15, 2025","Oct 17, 2025","['computational mechanics', 'biomechanics', 'sensors and iot', 'smart materials and structures']"
ICACME 2025,International Conference on Advances and Creations in Mechanical Engineering,"Mahagaon, India","Jan 30, 2025","Apr 2, 2025","['materials and manufacturing processes', 'thermal and fluid engineering', 'design dynamics and control systems', 'automotive and aerospace engineering']"
InterPartner-2025,7th Grabchenko’s International Conference on Advanced Manufacturing Processes,"Kielce, Poland",,"Sep 23, 2025","['manufacturing engineering', 'mechanical engineering', 'materials science', 'quality assurance']"
MMCET 2025,"2025 International Conference on Materials, Mechanical, and Civil Engineering Technologies","Tokyo, Japan",,"Dec 17, 2025","['mechanical engineering', 'civil engineering', 'materials engineering']"
ICIMRBE 25,"International Conference on Innovations in Mechanical, Robotics, and Biomedical Engineering (ICIMRBE)","Cochi, India","Jun 30, 2025","Jul 15, 2025","['machine vision', 'telemedicine', 'medical device materials and processing', 'microgrids and electrical vehicles']"
CIE/C2I 2025,International Conference on Integrated Engineering,"Timisoara, Romania",,"May 5, 2025","['manufacturing processes', 'industry 4.0', 'integrated product development', 'virtual design and manufacturing']"
ISPEM 2025,Intelligent Systems in Production Engineering and Maintenance,"Wroclaw, Poland","Jan 10, 2025","Jun 25, 2025","['production systems management and maintenance', 'industry 4.0 and industry 5.0', 'quality and lean management', 'manufacturing technology']"
ICIE'2025,International Conference Innovation in Engineering,"Prague, Czechia","Jan 8, 2025","Jun 18, 2025","['mechanical engineering', 'industrial engineering', 'mechatronics engineering']"
ICVPRD 2025,"The 2025 International Conference on Computer Vision, Pattern Recognition and Detection","Chongqing, China","Oct 5, 2025","Oct 25, 2025","['computer vision', 'computer', 'pattern recognition', 'china']"
ICAM4E-2025,"International Conference on Advances in Materials, Manufacturing, Mechanical, Mechatronics and Energy-2025","Singapore, Singapore","Jul 31, 2025","Aug 25, 2025","['materials', 'manufacturing', 'energy', 'mechanical and mechatronics']"
SHEMET 2025,The 21st International Conference on Sheet Metal,"Paderborn, Germany","Oct 17, 2024","Apr 1, 2025","['forming', 'simulation', 'joining', 'characterisation of sheet metal']"
SME NAMRC 53,53rd SME North American Manufacturing Research Conference,"Greenville, SC, United States","Nov 1, 2024","Jun 23, 2025","['manufacturing systems and processes', 'material removal additive manufacturing', 'smart manufacturing and sustainable manufacturing', 'manufacturing education']"
CIMM 2025,"XII Congreso Internacional de Ingeniería Mecánica, Mecatrónica y Automatización","Montería, Colombia","Feb 22, 2025","May 14, 2025","['energía', 'materiales y procesos de manufactura', 'diseño mecánico', 'tecnología y sostebilidad']"
ICCMIE-2025,"3rd International Conference on Civil, Mechanical and Industrial Engineering 2025","Solapur, India","Jan 31, 2025","Jun 25, 2025","['mechanical engineering', 'industrial engineering', 'civil engineering structural engineering']"
