Acronym,Name,Location,Submission deadline,Start date,Topics
ICCMMAS 2025,International Conference on Computational Methods and Models in Applied Sciences,"Madurai, Tamil Nadu, India","May 28, 2025","May 31, 2025","['mathematical programming', 'quantum mechanics', 'hydrodynamics', 'green chemistry']"
QTML 2025,9th International Conference on Quantum Techniques in Machine Learning,"Singapore, Singapore","Jun 1, 2025","Nov 16, 2025","['quantum machine learning', 'quantum optimization', 'quantum algorithms', 'quantum simulation']"
IISA2025,India International Symposium on Acoustics - Gurugram India,"Gurugram, India","Jun 30, 2025","Oct 30, 2025","['aero, hydro & underwater acoustics', 'architectural & building acoustics', 'instrumentation signal processing musical acoustics', 'transducers & electro acoustics']"
AQIS 2025,25th Asian Quantum Information Science Conference,"Hong Kong, Hong Kong",,"Aug 4, 2025",[]
VQC 2025,The First Workshop on Verification of Quantum Computing,"Zagreb, Croatia","May 1, 2025","Jul 21, 2025",[]
SOPO 2025,The 16th Int'l Symposium on Photonics and Optoelectronics(SOPO 2025),"Kunming, China, China","Jul 2, 2025","Jul 18, 2025","['photonics and optoelectronics', 'laser technology and applications', 'optical communications', 'optoelectronic devices and integration']"
BIID13,Beyond IID in Information Theory 13,"Munich, Germany","Apr 6, 2025","Jul 14, 2025","['quantum information theory', 'shannon theory', 'one shot information theory', 'entropies and information measures']"
QSim 2025,3nd Annual Conference on Quantum Simulation,"NYC, NY, United States","Apr 21, 2025","Aug 4, 2025",[]
GI QC 25,GI Quantum Computing Workshop 2025,"Potsdam, Germany","May 2, 2025","Sep 19, 2025","['quantum computing', 'quantum algorithms', 'quantum information theory', 'quantum error correction']"
CNC 2025,CNC 2025 (XIV Congreso Nacional del Color),"Mérida, Spain","Mar 22, 2025","Jun 18, 2025","['ciencia y tecnología del color', 'percepción del color', 'color digital', 'color en la industria']"
E-QSE 2025,Empirical Studies for Quantum Software Engineering,"Istanbul, Turkey","Mar 16, 2025","Jun 17, 2025","['quantum computing', 'empirical software engineering', 'quantum machine learning', 'quantum software engineering']"
1AINET,Advancing Innovation in Nanotechnology and Emerging Technologies,"Helsinki, Finland","Mar 15, 2025","Apr 23, 2025","['nanomaterials and nanocomposites', 'nanoelectronics and nanosensors', 'nanomedicine and biotechnology', 'quantum dots and quantum computing']"
INFOS 2025,24th Conference on Insulating Films on Semiconductors,"Granada, Spain","Mar 7, 2025","Jun 25, 2025","['semiconductors', 'electronics', 'characterization', 'dielectric']"
QEC25,7th International Conference on Quantum Error Correction,"New Haven, CT, United States","May 1, 2025","Aug 10, 2025",['quantum error correction']
FNANO 2025,Foundations of Nanoscience 2025,"Snowbird, UT, UT, United States","Feb 14, 2025","Apr 28, 2025","['nanotechnology', 'nucleic acid', 'protein', 'self assembly']"
JTET 2025,JTET 2025: Les 10ème Journées Tunisiennes sur les Ecoulements et les Transferts.,"Hammamet, Tunisia","Jan 30, 2025","Apr 30, 2025","['mécanique fluides et transferts thermiques', 'stockage de l énergie .', 'énergies renouvelables et efficacité énergétique.', 'applications industrielles et procédés thermiques.']"
QPL 2025,22nd International Conference on Quantum Physics and Logic,"Varna, Bulgaria",,"Jul 14, 2025",[]
ISPS 2025,17th International Seminar on Power Semiconductors,"Prague, Czechia",,"Aug 27, 2025",[]
Q-SE 2025,Quantum Software Engineering,"Ottawa, Canada","Nov 11, 2024","Apr 26, 2025","['quantum programming', 'software engineering']"
IEEE qCCL 2025,"2025 IEEE International Conference on Quantum Control, Computing, and Learning","Hong Kong, China","Mar 15, 2025","Jun 25, 2025","['quantum control', 'quantum machine learning', 'quantum estimation', 'quantum computing and sensing']"
OPAL' 2025,"8th International Conference on Optics, Photonics and Lasers","Rhodes, Greece","Apr 15, 2025","May 14, 2025","['optics', 'photonics', 'lasers', 'moems']"
