Acronym,Name,Location,Submission deadline,Start date,Topics
SAMIBC2026,SAM International Business Confernece 2026,"East Greenwich, RI, United States","Jan 21, 2026","Mar 16, 2026","['business', 'research', 'healthcare', 'management']"
GMISD 2025,3rd Scientific Conference on Green Management and its Implications in Sustainable Development,"Ho Chi Minh City, Viet Nam","Oct 1, 2025","Nov 7, 2025","['green management', 'green policy']"
SD2025,VII International Congress on Sustainable Development: Resilient Regions and Global Partnerships for Social Innovation and Sustainable Development,"Cape Town, South Africa","Aug 31, 2025","Oct 29, 2025","['sustainability', 'sustainable development', 'regional planning']"
AIDAOS’25,1st Workshop on  AI-Enhanced DAO Security,"Ho Chi Minh, Viet Nam","Aug 20, 2025","Nov 24, 2025",['security']
IDCS-2025,Intelligent Digitalization Conference - Summer,"Böblingen, Germany","Jun 27, 2025","Jul 15, 2025",[]
ICBMIS 2025,"International Conference on Business, Management, and Information System - 2025","Bandar Seri Begawan, Brunei Darussalam","Sep 20, 2025","Oct 20, 2025",['information system']
BW-2025,Bridging Worlds: Multidisciplinary Research Conference,"Mumbai, India","Apr 25, 2025","Apr 26, 2025",[]
Greenearth1234ESAM,"Greenearth1234 journal of Engineering, Science, Agriculture and Management","Pune, India",,,"['engineering', 'science', 'agriculture', 'management']"
IIAI AAI 2025,18th International Congress on Advanced Applied Informatics,"Kitakyushu, Japan",,"Jul 13, 2025",[]
ACMSA2025,The 2025 Asian Conference of Management Science and Applications,"Shanghai, China","Aug 20, 2025","Dec 26, 2025",[]
CITED'2025,"International Symposium on Advanced Technologies, Renewable Energies, and Economic Development","Tunis, Tunisia",,"Nov 6, 2025",[]
CI3 2025,6th International Conference of Research and Innovation,"Cuenca, Ecuador",,"Sep 11, 2025","['technology', 'social sciences', 'education', 'innovation']"
17 IHRM,The 17th Biennial Conference on International Human Resource Management,"Dubai, UAE","Sep 1, 2025","Oct 28, 2025","['ai powered hr', 'migration and future of work', 'mobility and future of work', 'ethics leadership and ihrm']"
CIST 2025,Conference on Information Systems and Technology 2025,"Atlanta, GA, United States","Jun 8, 2025","Oct 25, 2025","['artificial intelligence (ai)', 'digital advertising', 'e commerce', 'sharing economy']"
SIIE'2025,International Conference on Information Systems and Economic Intelligence,"Tunis, Tunisia",,"Nov 6, 2025","['community oriented systems and applications', 'collaborative information research', 'intelligent technologies for information systems', 'economic intelligence for decision making']"
MBALI 2025,MBALI International Conference 2025,"Richards Bay, South Africa","May 31, 2025","Jul 29, 2025","['public management', 'finance and accounting', 'business and 4ir/artificial intelligence', 'information systems/ technology and entrepreneurship']"
AIDETA-2025,"AI-Driven Data Science, Emerging Technologies, and Automation","Gautam Buddha Nagar ,Uttar Pradesh, India","Apr 7, 2025","Apr 25, 2025","['data science', 'artificial intelligence & emerging technologies', 'networking & security', 'computing & advanced technologies']"
IMC 2025,The 19th International Management Conference - Global Management Reimagined:  Solutions for a Geopolitically Complex Future,"Bucharest, Romania","Jun 30, 2025","Oct 30, 2025","['business administration', 'strategic management', 'management', 'economics']"
ICIED 2025,International Conference on Innovation and Entrepreneurship Development,"Ulaanbaatar, Mongolia","Apr 15, 2025","May 8, 2025","['productivity', 'digital transformation']"
OCTA’2025,"International Multi-Conference on ""Organization of Knowledge and Advanced Technologies""","Tunis, Tunisia","Sep 7, 2025","Nov 6, 2025","['knowledge organization', 'big data analytics', 'information systems and economic intelligence', 'digital sciences and advanced technologies']"
ICBIM 2025,"The 8th International Conference on Business, Informatics and Management","ฺBangkok, Thailand",,"May 30, 2025","['business', 'technology', 'sustainabilty']"
S3-2025,Smart Service Summit 2025: Smart Services for a Sustainable and Resilient Future,,"Sep 21, 2025","Oct 24, 2025","['smart cities', 'sustainability reporting', 'industry']"
InMan 2025,ECAI 2025 Workshop on Intelligent Management,"Bologna, Italy","Mar 16, 2025","Oct 25, 2025","['artificial intelligence in intelligent management', 'ethical aspects of ai', 'data analysis in intelligent management', 'methods for intelligent management']"
ISTTE2025,44th Annual ISTTE Conference,"Edinburgh, UK","May 2, 2025","Oct 22, 2025",[]
EVALSUP 2025 & CIMQUSEF 2025,Rethinking and Advancing the Quality in Education,"Oujda, Morocco","Jun 30, 2025","Oct 22, 2025","['artificial intelligence in education', 'rethinking educational quality', 'public policies and governance', 'changing educational paradigms']"
AKTB 2025,12th Workshop on Applications of Knowledge-Based Technologies in Business,"Poznan, Poland","May 1, 2025","Jun 25, 2025",[]
IACE 2025,The 6th Innovation and Analytics Conference and Exhibition,"Tashkent, Uzbekistan","Apr 30, 2025","Oct 20, 2025","['operational research', 'mathematics', 'statistics', 'computer science']"
ICIL 2025,International Conference on Industrial Logistics,"Tokyo, Japan","Jul 31, 2025","Oct 30, 2025","['logistics', 'supply chain management', 'inventory management', 'transportation']"
CROMAR2025,29th CROMAR Congress: Empowering the future: Bridging science and practice through collaboration,"Opatija, Ika And Rijeka, Croatia","Jun 13, 2025","Nov 13, 2025","['consumer behaviour', 'services marketing', 'digital marketing', 'sustainable marketing']"
Sustain Bahrain 2025,International Conference on Sustainability and Innovation Processes and Systems,"Riffa, Bahrain","Apr 25, 2025","Jun 23, 2025","['business sustainability', 'digital transformation', 'sustainable engineering', 'sustainable tourism']"
ICFMCF 2025,International Conference on Financial Markets and Corporate Finance 2025,"Kharagpur, India","Apr 30, 2025","Jun 28, 2025","['financial markets', 'corporate finance', 'sustainable finance']"
