Acronym,Name,Location,Submission deadline,Start date,Topics
KarismaOJK2025,Karisma OJK Paper Award 2025,"Jakarta, Indonesia","Jul 11, 2025","Oct 6, 2025","['economic', 'finance', 'economic policy', 'artificial intelligence']"
ECAES 2025,VI Congreso Internacional Economía y Contabilidad  aplicado  a  la Empresa y Sociedad,"Ambato, Ecuador","May 14, 2025","Jun 11, 2025","['economía', 'contabilidad', 'organización y dirección de empresas', 'finanzas']"
MBALI 2025,MBALI International Conference 2025,"Richards Bay, South Africa","May 31, 2025","Jul 29, 2025","['public management', 'finance and accounting', 'business and 4ir/artificial intelligence', 'information systems/ technology and entrepreneurship']"
AIFIN-2025,Workshop on AI in Finance at ECAI 2025,"Bologna, Italy","May 13, 2025","Oct 25, 2025","['ai for finance', 'finance', 'artificial intelligence']"
ICFMCF 2025,International Conference on Financial Markets and Corporate Finance 2025,"Kharagpur, India","Apr 30, 2025","Jun 28, 2025","['financial markets', 'corporate finance', 'sustainable finance']"
ECONVN2026,The Ninth International Econometric and Financial Conference of Vietnam,"Ho Chi Minh City, Vietnam, Viet Nam","Aug 31, 2025","Jan 12, 2026","['regularization', 'maximum likelihood estimation', 'sieves estimation method', 'wasserstein metrics']"
ICRMC 2025,International Conference on Recent Trends in Management and Commerce,"Krishnagiri, India","Mar 20, 2025","Mar 28, 2025","['banking', 'accounting', 'business', 'management']"
IBRS2025,IBRS 2025: 2nd International Business Research Symposium,"Ifrane, Morocco","May 15, 2025","Jun 28, 2025","['information systems', 'management', 'marketing', 'finance']"
27thINFERAC2025,27th INFER Annual Conference,"Rome, Italy",,"Sep 10, 2025","['econometrics', 'economic policy', 'economics (micro and macro)', 'circular economy and sustainability']"
2025 SFIC,2025 SFIC12,"New Taipei City, Taiwan","Mar 24, 2025","Apr 24, 2025","['green finance', 'circular economy', 'sustainable energy', 'sustainability']"
ARC XX ICMIT Industry 5.0-2025,The International Conference in Management & Information Technology on Industry 5.0 - 2025,"Thailand, Thailand","Mar 1, 2025","Apr 3, 2025","['strategic leadership and organizational development', 'sustainable business practices', 'innovation and technology management', 'finance and risk management']"
FinTeAchIn'25,1st Workshop on the Role of Education in FinTech and Innovation,"Miyakojima, Japan","Jan 31, 2025","Apr 18, 2025",[]
FinEval-Proposal-2025,Financial Information Access and Evaluation,"Suzhou, China",,"Nov 5, 2025",[]
GRASFI 2025,Global Research Alliance for Sustainable Finance and Investment 2025 Annual Conference,"PARIS, France","Feb 14, 2025","Aug 25, 2025",[]
CFBA-2025,3rd International Conference on Computational Finance and Business Analytics,"Bhubaneswar, India","Mar 1, 2025","Apr 4, 2025","['financial analytics', 'business analytics', 'hr & marketing analytics']"
