Acronym,Name,Location,Submission deadline,Start date,Topics
Passages 2025,Passages. Architecture for Flowing and Connecting Spaces,"Milan, Italy","May 25, 2025","Sep 24, 2025","['architecture', 'mobility', 'infrastructure', 'space']"
FAPER-2025,4th International Workshop on Fine Art Pattern Extraction and Recognition,"Rome, Italy","May 30, 2025",,"['digital humanities', 'computer vision', 'generative ai', 'machine learning']"
BHV2025,Workshop on Bridging History and Virtuality – Digital Twins and 3D Reconstruction for Cultural Heritage Conservation,"Tokyo, Japan","May 25, 2025","Aug 27, 2025","['digital heritage', '3d reconstruction for cultural heritage', 'digital twins']"
IcoLL2026,Joint conference of the 4th Iconicity Seminar and the 15th International Symposium on Iconicity in Language and Literature,"Nagoya, Japan","Aug 31, 2025","Feb 21, 2026","['iconicity', 'linguistics', 'language', 'literature']"
HC2026,Henle Conference 2026,"Saint Louis, MO, United States","Nov 10, 2025","Mar 26, 2026","['essentialism', 'metaphysics', 'ancient philosophy', 'contemporary metaphysics']"
IWLP-4,The Fourth International Workshop on Logic and Philosophy: Social Norms: Logical Structures and Philosophical Foundations,"Beijing, China","Jul 4, 2025","Nov 1, 2025","['origin of norms', 'norms in social network', 'agency and norms', 'norms for ai agents']"
NeuMach25,"Neurons and Machines: Philosophy, Ethics, Policies and the Law","Ioannina, Greece","May 18, 2025","Nov 27, 2025",[]
BISFORM2025,Beijing International Summer Workshop on Formal Philosophy 2025,"Beijing, China","May 7, 2025","Jul 7, 2025",[]
DLfM 2025,Digital Libraries for Musicology 2025,"Seoul, South Korea","May 9, 2025","Sep 26, 2025","['building and managing digital collections', 'access and interfaces', 'musicological knowledge', 'improving data for musicology']"
ICADL 2025,The 27th International Conference on Asia-Pacific Digital Libraries,"Manila, Philippines",,"Dec 3, 2025",[]
KUI 2025,XXII. International Conference »Culture and Computer Science«,"Berlin, Germany","Apr 25, 2025","Sep 25, 2025","['innovation', 'cultural heritage', 'interdisciplinary', 'art and technology']"
CHR2025,Computational Humanities Research 2025,"Esch-sur-Alzette, Luxembourg",,"Dec 9, 2025",[]
CHAI 2025,5th Workshop on Humanities-Centred AI at KI 2025,"Potsdam, Germany","Jul 4, 2025","Sep 16, 2025","['artificial intelligence', 'humanities', 'data linking']"
